billing_month	imsi	charge_type	final_start_d	final_end_d	excel_final_days	date_span_days	excel_monthly_rate	excel_final_charge	full_month_formula_amount	prorated_formula_amount	signed_prorated_formula_amount	type_formula_amount	excel_formula_residual_reason	excel_formula_amount_diff
2026-03	083901516081659742	New Activation: Prorated-in Charge	2026-03-14	2026-03-19	6.0	6.0	43.0	9.214285714285714	43.0	8.322581	-8.322581	8.322581	AMOUNT_FORMULA_RESIDUAL	0.891705
2026-03	083901516081750155	New Activation: Prorated-in Charge	2026-03-08	2026-03-19	12.0	12.0	43.0	18.428571428571427	43.0	16.645161	-16.645161	16.645161	AMOUNT_FORMULA_RESIDUAL	1.78341
2026-03	083901516081750175	New Activation: Prorated-in Charge	2026-03-15	2026-03-20	6.0	6.0	43.0	9.214285714285714	43.0	8.322581	-8.322581	8.322581	AMOUNT_FORMULA_RESIDUAL	0.891705
2026-03	083901516081751352	New Activation: Prorated-in Charge	2026-03-08	2026-03-19	12.0	12.0	43.0	18.428571428571427	43.0	16.645161	-16.645161	16.645161	AMOUNT_FORMULA_RESIDUAL	1.78341
2026-03	083901516081752126	New Activation: Prorated-in Charge	2026-03-15	2026-03-21	7.0	7.0	43.0	10.75	43.0	9.709677	-9.709677	9.709677	AMOUNT_FORMULA_RESIDUAL	1.040323
2026-03	083901516081753655	New Activation: Prorated-in Charge	2026-03-14	2026-03-19	6.0	6.0	43.0	9.214285714285714	43.0	8.322581	-8.322581	8.322581	AMOUNT_FORMULA_RESIDUAL	0.891705
2026-03	083901516081755651	New Activation: Prorated-in Charge	2026-03-14	2026-03-17	4.0	4.0	43.0	6.142857142857142	43.0	5.548387	-5.548387	5.548387	AMOUNT_FORMULA_RESIDUAL	0.59447
2026-03	083901516081755727	New Activation: Prorated-in Charge	2026-03-14	2026-03-19	6.0	6.0	43.0	9.214285714285714	43.0	8.322581	-8.322581	8.322581	AMOUNT_FORMULA_RESIDUAL	0.891705
2026-03	083901516081758009	New Activation: Prorated-in Charge	2026-03-14	2026-03-17	4.0	4.0	43.0	6.142857142857142	43.0	5.548387	-5.548387	5.548387	AMOUNT_FORMULA_RESIDUAL	0.59447
2026-03	083901822080310585	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080310807	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080311819	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080312656	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080312825	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080313525	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080313949	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080314487	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080314535	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080317517	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080317719	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080319944	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080319974	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080410688	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080411127	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080411963	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080412596	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080413462	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080413568	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080413957	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080415398	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080415495	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080416024	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080416177	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080416616	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080417552	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080417875	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080418725	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080419251	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080419356	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080419421	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080419774	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080510120	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080512377	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080519062	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901822080519250	New Activation: Prorated-in Charge	2026-03-05	2026-03-24	20.0	20.0	43.0	30.714285714285715	43.0	27.741935	-27.741935	27.741935	AMOUNT_FORMULA_RESIDUAL	2.972351
2026-03	083901516081450527	New Activation: Prorated-in Charge	2026-03-19	2026-03-21	5.0	3.0	43.0	7.678571428571429	43.0	6.935484	-6.935484	6.935484	DATE_AND_AMOUNT_FORMULA_RESIDUAL	0.743087
2026-03	083901516081652031	New Activation: Prorated-in Charge	2026-03-14	2026-03-17	5.0	4.0	43.0	7.678571428571429	43.0	6.935484	-6.935484	6.935484	DATE_AND_AMOUNT_FORMULA_RESIDUAL	0.743087
2026-03	083901516081837752	New Activation: Prorated-in Charge	2026-03-25	2026-03-26	4.0	2.0	43.0	6.142857142857142	43.0	5.548387	-5.548387	5.548387	DATE_AND_AMOUNT_FORMULA_RESIDUAL	0.59447
2026-03	083901516081838558	New Activation: Prorated-in Charge	2026-03-25	2026-03-26	3.0	2.0	43.0	4.607142857142857	43.0	4.16129	-4.16129	4.16129	DATE_AND_AMOUNT_FORMULA_RESIDUAL	0.445853
2026-03	083901144064119730	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	28.0	11.0	62.0	56.0	62.0	56.0	-56.0	56.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144064213878	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	18.0	11.0	62.0	36.0	62.0	36.0	-36.0	36.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144064316038	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	15.0	11.0	62.0	30.0	62.0	30.0	-30.0	30.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144064319930	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	14.0	11.0	62.0	28.0	62.0	28.0	-28.0	28.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144064519115	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	13.0	11.0	62.0	26.0	62.0	26.0	-26.0	26.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065210973	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	25.0	11.0	62.0	50.0	62.0	50.0	-50.0	50.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065211603	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	13.0	11.0	62.0	26.0	62.0	26.0	-26.0	26.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065211808	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	25.0	11.0	62.0	50.0	62.0	50.0	-50.0	50.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065211809	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	13.0	11.0	62.0	26.0	62.0	26.0	-26.0	26.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065211849	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	11.0	10.0	43.0	15.258064516129034	43.0	15.258065	-15.258065	15.258065	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065211866	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	17.0	11.0	62.0	34.0	62.0	34.0	-34.0	34.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065211914	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	16.0	11.0	62.0	32.0	62.0	32.0	-32.0	32.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065212527	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	15.0	11.0	62.0	30.0	62.0	30.0	-30.0	30.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065212538	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	31.0	11.0	62.0	62.0	62.0	62.0	-62.0	62.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065212626	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	23.0	11.0	62.0	46.0	62.0	46.0	-46.0	46.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065212658	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	16.0	11.0	62.0	32.0	62.0	32.0	-32.0	32.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065212915	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	14.0	11.0	62.0	28.0	62.0	28.0	-28.0	28.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065213644	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	17.0	10.0	43.0	23.58064516129032	43.0	23.580645	-23.580645	23.580645	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065215927	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	14.0	10.0	43.0	19.419354838709676	43.0	19.419355	-19.419355	19.419355	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065216406	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	15.0	11.0	62.0	30.0	62.0	30.0	-30.0	30.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065216521	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	12.0	11.0	62.0	24.0	62.0	24.0	-24.0	24.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065217494	New Activation: Prorated-in Charge	2026-03-28	2026-04-03	9.0	7.0	43.0	12.483870967741936	43.0	12.483871	-12.483871	12.483871	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065217701	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	20.0	10.0	43.0	27.741935483870968	43.0	27.741935	-27.741935	27.741935	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065217946	New Activation: Prorated-in Charge	2026-03-28	2026-04-03	15.0	7.0	43.0	20.806451612903228	43.0	20.806452	-20.806452	20.806452	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065218766	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	26.0	10.0	43.0	36.064516129032256	43.0	36.064516	-36.064516	36.064516	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065218849	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	19.0	11.0	62.0	38.0	62.0	38.0	-38.0	38.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065219506	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	14.0	11.0	62.0	28.0	62.0	28.0	-28.0	28.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065219757	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	26.0	11.0	62.0	52.0	62.0	52.0	-52.0	52.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065310211	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	13.0	11.0	62.0	26.0	62.0	26.0	-26.0	26.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065310352	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	23.0	11.0	62.0	46.0	62.0	46.0	-46.0	46.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065310494	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	20.0	11.0	62.0	40.0	62.0	40.0	-40.0	40.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065310588	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	13.0	11.0	62.0	26.0	62.0	26.0	-26.0	26.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065310675	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	15.0	10.0	43.0	20.806451612903228	43.0	20.806452	-20.806452	20.806452	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065311068	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	17.0	11.0	62.0	34.0	62.0	34.0	-34.0	34.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065311365	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	13.0	11.0	62.0	26.0	62.0	26.0	-26.0	26.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065311937	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	16.0	11.0	62.0	32.0	62.0	32.0	-32.0	32.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065311993	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	31.0	11.0	62.0	62.0	62.0	62.0	-62.0	62.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065312159	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	20.0	10.0	43.0	27.741935483870968	43.0	27.741935	-27.741935	27.741935	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065312242	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	15.0	11.0	62.0	30.0	62.0	30.0	-30.0	30.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065312302	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	18.0	10.0	43.0	24.967741935483872	43.0	24.967742	-24.967742	24.967742	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065312380	New Activation: Prorated-in Charge	2026-03-26	2026-04-03	31.0	9.0	43.0	43.0	43.0	43.0	-43.0	43.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065312623	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	14.0	11.0	62.0	28.0	62.0	28.0	-28.0	28.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065313072	New Activation: Prorated-in Charge	2026-03-28	2026-04-03	9.0	7.0	43.0	12.483870967741936	43.0	12.483871	-12.483871	12.483871	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065313213	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	15.0	10.0	43.0	20.806451612903228	43.0	20.806452	-20.806452	20.806452	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065313503	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	12.0	11.0	62.0	24.0	62.0	24.0	-24.0	24.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065313525	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	20.0	11.0	62.0	40.0	62.0	40.0	-40.0	40.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065313876	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	14.0	10.0	43.0	19.419354838709676	43.0	19.419355	-19.419355	19.419355	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065313941	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	12.0	11.0	62.0	24.0	62.0	24.0	-24.0	24.0	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065314480	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	13.0	10.0	43.0	18.032258064516128	43.0	18.032258	-18.032258	18.032258	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065314634	New Activation: Prorated-in Charge	2026-03-26	2026-04-03	20.0	9.0	43.0	27.741935483870968	43.0	27.741935	-27.741935	27.741935	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065314776	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	23.0	10.0	43.0	31.903225806451612	43.0	31.903226	-31.903226	31.903226	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065314798	New Activation: Prorated-in Charge	2026-03-25	2026-04-03	21.0	10.0	43.0	29.129032258064512	43.0	29.129032	-29.129032	29.129032	DATE_SPAN_RESIDUAL	0.0
2026-03	083901144065314880	New Activation: Prorated-in Charge	2026-03-24	2026-04-03	17.0	11.0	62.0	34.0	62.0	34.0	-34.0	34.0	DATE_SPAN_RESIDUAL	0.0
