excel_row_key	platform_fact_key	excel_source_file	official_excel_billing_month	reconciliation_billing_month	imsi	excel_product_id	excel_product_name	charge_type	excel_cycle_start	excel_cycle_end	excel_final_start	excel_final_end	excel_days	excel_price	excel_amount	platform_product_id	platform_product_name	platform_monthly_rent	platform_package_price	platform_time_zone	platform_iccid	platform_cycle_start	platform_cycle_end	platform_cycle_days	platform_calculated_days	platform_calculated_price	platform_calculated_amount	day_diff	price_diff	amount_diff	rule_id	platform_price_state	product_mapping_status	platform_candidate_count	platform_candidate_product_count	platform_candidate_window_count	activation_event_count	offstock_event_count	replacement_event_count	transfer_event_count	difference_reason	source_match_status	record_side
	2026-05|083901144064210203|60011612|2026-05-25|2026-06-25			2026-05	083901144064210203											60011612	ATT 300GB Plan SP (PI)	62.0000000000	62.0000000000	GMT-5	89014103334461311536	2026-05-25	2026-06-25	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083911880231724089|600111175|2026-05-19|2026-06-19			2026-05	083911880231724089											600111175	TMO Unlimited SMP (PI)	62.0000000000	62.0000000000	GMT-5	8901882014732704981f	2026-05-19	2026-06-19	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083911880231729083|600111175|2026-05-19|2026-06-19			2026-05	083911880231729083											600111175	TMO Unlimited SMP (PI)	62.0000000000	62.0000000000	GMT-5	8901882014732709386f	2026-05-19	2026-06-19	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083911880231723197|600111175|2026-05-19|2026-06-19			2026-05	083911880231723197											600111175	TMO Unlimited SMP (PI)	62.0000000000	62.0000000000	GMT-5	8901882014732713792f	2026-05-19	2026-06-19	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901821027251134|60011992|2026-05-04|2026-06-04			2026-05	083901821027251134											60011992	ATT 300GB Plan DI PV (PI)	62.0000000000	62.0000000000	GMT-5	89012804331725102616	2026-05-04	2026-06-04	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083911880231622926|600111175|2026-05-19|2026-06-19			2026-05	083911880231622926											600111175	TMO Unlimited SMP (PI)	62.0000000000	62.0000000000	GMT-5	8901882014732692624f	2026-05-19	2026-06-19	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901821055554569|60011981|2026-05-02|2026-06-02			2026-05	083901821055554569											60011981	ATT 300GB Plan DF (PI)	62.0000000000	62.0000000000	GMT-5	89012803331555416343	2026-05-02	2026-06-02	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901421048504939|600111094|#|#			2026-05	083901421048504939											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	8901240187140594934f					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901424017131056|600111094|#|#			2026-04	083901424017131056											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	8901240477113101654f					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901300080680897|60011785|2026-04-05|2026-05-05			2026-04	083901300080680897											60011785	ATT 300GB Plan DC (PI)	62.0000000000	62.0000000000	GMT-5	89010303300088680799	2026-04-05	2026-05-05	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144035713865|600111111|2026-04-21|2026-05-21			2026-04	083901144035713865											600111111	ATT 300GB Plan DI RC (PI)	62.0000000000	62.0000000000	GMT-5	89014103334531899999	2026-04-21	2026-05-21	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901517054017245|600111094|#|#			2026-04	083901517054017245											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	89011503277451027541					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901821007381938|60011981|2026-04-12|2026-05-12			2026-04	083901821007381938											60011981	ATT 300GB Plan DF (PI)	62.0000000000	62.0000000000	GMT-5	89012803331708503211	2026-04-12	2026-05-12	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901622016085268|600111094|#|#			2026-04	083901622016085268											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	8901260264718025867f					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901300080581262|60011785|2026-04-05|2026-05-05			2026-04	083901300080581262											60011785	ATT 300GB Plan DC (PI)	62.0000000000	62.0000000000	GMT-5	89010303300088521266	2026-04-05	2026-05-05	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901624041489847|60011891|2026-04-18|2026-05-18			2026-04	083901624041489847											60011891	TMO 500GB DI BU MG (PI)	62.0000000000	62.0000000000	GMT-5	8901260418748489747f	2026-04-18	2026-05-18	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901300071105409|600111094|#|#			2026-04	083901300071105409											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	89010303300170145909					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144012465501|600111094|#|#			2026-04	083901144012465501											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	89014103334216880595					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901300071108386|600111094|#|#			2026-05	083901300071108386											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	89010303300170138680					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901144035814957|600111111|2026-05-21|2026-06-21			2026-05	083901144035814957											600111111	ATT 300GB Plan DI RC (PI)	62.0000000000	62.0000000000	GMT-5	89014103334531892176	2026-05-21	2026-06-21	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901624031426870|60011891|2026-05-18|2026-06-18			2026-05	083901624031426870											60011891	TMO 500GB DI BU MG (PI)	62.0000000000	62.0000000000	GMT-5	8901260414732486070f	2026-05-18	2026-06-18	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901820012003241|600111187|2026-05-01|2026-06-01			2026-05	083901820012003241											600111187	ATT 300GB Plan XY PP (PI)	62.0000000000	62.0000000000	GMT-5	89012804320210023148	2026-05-01	2026-06-01	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083911880212657666|600111094|#|#			2026-05	083911880212657666											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	8901882024115667663f					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901144004491727|60011993|2026-04-23|2026-05-23			2026-05	083901144004491727											60011993	ATT 300GB Plan DI 1A (PI)	62.0000000000	62.0000000000	GMT-5	89014104334409632554	2026-04-23	2026-05-23	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144085895770|600111139|2026-03-24|2026-04-24			2026-04	083901144085895770											600111139	AT&T 300GB Plan HX RT (333) (PI)	62.0000000000	62.0000000000	GMT-5	89014104334590017904	2026-03-24	2026-04-24	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144065413656|60011612|2026-03-25|2026-04-25			2026-04	083901144065413656											60011612	ATT 300GB Plan SP (PI)	62.0000000000	62.0000000000	GMT-5	89014103334561420336	2026-03-25	2026-04-25	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083911880231724068|600111165|2026-03-19|2026-04-19			2026-04	083911880231724068											600111165	TMO Unlimited SMP (WA)	62.0000000000	62.0000000000	GMT-5	8901882014732704866f	2026-03-19	2026-04-19	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901300080581247|60011785|2026-03-05|2026-04-05			2026-04	083901300080581247											60011785	ATT 300GB Plan DC (PI)	62.0000000000	62.0000000000	GMT-5	89010303300088521746	2026-03-05	2026-04-05	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901300080689733|60011785|2026-03-05|2026-04-05			2026-04	083901300080689733											60011785	ATT 300GB Plan DC (PI)	62.0000000000	62.0000000000	GMT-5	89010303300088679338	2026-03-05	2026-04-05	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083911880231726037|600111165|2026-03-19|2026-04-19			2026-04	083911880231726037											600111165	TMO Unlimited SMP (WA)	62.0000000000	62.0000000000	GMT-5	8901882014732706739f	2026-03-19	2026-04-19	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144016999182|60011860|2026-03-10|2026-04-10			2026-04	083901144016999182											60011860	ATT 300GB Plan DI SG (PI)	62.0000000000	62.0000000000	GMT-5	89014104334619537676	2026-03-10	2026-04-10	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901300080689771|60011785|2026-03-05|2026-04-05			2026-04	083901300080689771											60011785	ATT 300GB Plan DC (PI)	62.0000000000	62.0000000000	GMT-5	89010303300088679171	2026-03-05	2026-04-05	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083911880231727040|600111165|2026-03-19|2026-04-19			2026-04	083911880231727040											600111165	TMO Unlimited SMP (WA)	62.0000000000	62.0000000000	GMT-5	8901882014732707042f	2026-03-19	2026-04-19	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144095266185|600111113|2026-03-22|2026-04-22			2026-04	083901144095266185											600111113	ATT 300GB Plan DF BU (2) (PI)	62.0000000000	62.0000000000	GMT-5	89014102334596272604	2026-03-22	2026-04-22	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144065219731|60011612|2026-03-25|2026-04-25			2026-04	083901144065219731											60011612	ATT 300GB Plan SP (PI)	62.0000000000	62.0000000000	GMT-5	89014103334561415724	2026-03-25	2026-04-25	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144065317847|600111139|2026-03-24|2026-04-24			2026-04	083901144065317847											600111139	AT&T 300GB Plan HX RT (333) (PI)	62.0000000000	62.0000000000	GMT-5	89014103334561416383	2026-03-24	2026-04-24	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901516061537325|600111121|2026-03-15|2026-04-15			2026-04	083901516061537325											600111121	ATT 100GB Plan PVP (33) (WA)	43.0000000000	43.0000000000	GMT-5	89011503336163279699	2026-03-15	2026-04-15	32.0000000000		43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901516060291947|60011838|2026-03-06|2026-04-06			2026-04	083901516060291947											60011838	ATT 125GB Plan DF ET (WA)	43.0000000000	43.0000000000	GMT-5	89011503336068885871	2026-03-06	2026-04-06	32.0000000000		43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144095856845|600111115|2026-04-01|2026-05-01			2026-04	083901144095856845											600111115	ATT 300GB Plan DF BU (4) (WA)	6.0000000000	62.0000000000	GMT-5	89014102334592817204	2026-04-01	2026-05-01	31.0000000000																	NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144035521975|600111161|2026-04-01|2026-05-01			2026-04	083901144035521975											600111161	ATT 300GB Plan DI LW (PI)	43.0000000000	43.0000000000	GMT-5	89014103334532832999	2026-04-01	2026-05-01	31.0000000000		43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901821037076187|60011992|2026-03-04|2026-04-04			2026-04	083901821037076187											60011992	ATT 300GB Plan DI PV (PI)	62.0000000000	62.0000000000	GMT-5	89012804331737107322	2026-03-04	2026-04-04	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083911880231729043|600111165|2026-03-19|2026-04-19			2026-04	083911880231729043											600111165	TMO Unlimited SMP (WA)	62.0000000000	62.0000000000	GMT-5	8901882014732709345f	2026-03-19	2026-04-19	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901622016183761|600111149|2026-04-01|2026-05-01			2026-04	083901622016183761											600111149	TMO 150GB Plan AT (1) (D) (WA)	43.0000000000	43.0000000000	GMT-5	8901260264718173162f	2026-04-01	2026-05-01	31.0000000000		43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083911880231726061|600111165|2026-03-19|2026-04-19			2026-04	083911880231726061											600111165	TMO Unlimited SMP (WA)	62.0000000000	62.0000000000	GMT-5	8901882014732706168f	2026-03-19	2026-04-19	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083911880231621943|600111175|2026-03-19|2026-04-19			2026-04	083911880231621943											600111175	TMO Unlimited SMP (PI)	62.0000000000	62.0000000000	GMT-5	8901882014732691345f	2026-03-19	2026-04-19	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-03|083901622016189537|600111094|#|#			2026-03	083901622016189537											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	8901260264718159732f					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-03|083901300071107464|600111094|#|#			2026-03	083901300071107464											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	89010303300170147467					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-03|083911850800968901|60011843|2026-03-09|2026-04-09			2026-03	083911850800968901											60011843	USC Plus 300GB Plan DC (PI)	62.0000000000	62.0000000000	GMT-5	89015809000317262017	2026-03-09	2026-04-09	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-03|083901516061025519|60011838|2026-02-26|2026-03-26			2026-03	083901516061025519											60011838	ATT 125GB Plan DF ET (WA)	43.0000000000	43.0000000000	GMT-5	89011503336162096037	2026-02-26	2026-03-26	29.0000000000		43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901622016086783|60011882|2026-03-01|2026-04-01			2026-04	083901622016086783											60011882	TMO 300GB Plan AT (1) (A) (PI)	62.0000000000	62.0000000000	GMT-5	8901260264718076381f	2026-03-01	2026-04-01	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144035427926|600111115|2026-03-01|2026-04-01			2026-04	083901144035427926											600111115	ATT 300GB Plan DF BU (4) (WA)	6.0000000000	62.0000000000	GMT-5	89014103334532532391	2026-03-01	2026-04-01	32.0000000000																	NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901624070716493|60011888|2026-03-01|2026-04-01			2026-04	083901624070716493											60011888	TMO 300GB Plan AT (1) (C) (PI)	62.0000000000	62.0000000000	GMT-5	8901260408771746394f	2026-03-01	2026-04-01	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901625089396456|60011888|2026-03-01|2026-04-01			2026-04	083901625089396456											60011888	TMO 300GB Plan AT (1) (C) (PI)	62.0000000000	62.0000000000	GMT-5	8901260598789346656f	2026-03-01	2026-04-01	32.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901822092117398|600111115|2026-03-01|2026-04-01			2026-04	083901822092117398											600111115	ATT 300GB Plan DF BU (4) (WA)	6.0000000000	62.0000000000	GMT-5	89012803332291180003	2026-03-01	2026-04-01	32.0000000000																	NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901821007884284|60011437|2026-04-04|2026-05-04			2026-05	083901821007884284											60011437	ATT 300GB Plan VS PP (PI)		62.0000000000	GMT-5	89012803331708875270	2026-04-04	2026-05-04	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901300080689885|60011986|2026-04-05|2026-05-05			2026-05	083901300080689885											60011986	ATT 300GB Plan DC (2) (PI)	62.0000000000	62.0000000000	GMT-5	89010303300088689584	2026-04-05	2026-05-05	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901300080587197|60011785|2026-04-05|2026-05-05			2026-05	083901300080587197											60011785	ATT 300GB Plan DC (PI)	62.0000000000	62.0000000000	GMT-5	89010303300088517793	2026-04-05	2026-05-05	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901300080581246|600111154|2026-04-05|2026-05-05			2026-05	083901300080581246											600111154	ATT 300GB Plan DC RA (PI)	62.0000000000	62.0000000000	GMT-5	89010303300088521647	2026-04-05	2026-05-05	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901624031251761|60011817|2026-04-01|2026-05-01			2026-05	083901624031251761											60011817	TMO 500GB VS BU (PI)	62.0000000000	62.0000000000	GMT-5	8901260418735271165f	2026-04-01	2026-05-01	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901622016281249|60011882|2026-04-01|2026-05-01			2026-05	083901622016281249											60011882	TMO 300GB Plan AT (1) (A) (PI)	62.0000000000	62.0000000000	GMT-5	8901260264718221946f	2026-04-01	2026-05-01	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083901516060378535|60011838|2026-04-23|2026-05-23			2026-05	083901516060378535											60011838	ATT 125GB Plan DF ET (WA)	43.0000000000	43.0000000000	GMT-5	89011503336067265117	2026-04-23	2026-05-23	31.0000000000		43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-05|083911880231726007|600111165|2026-04-19|2026-05-19			2026-05	083911880231726007											600111165	TMO Unlimited SMP (WA)	62.0000000000	62.0000000000	GMT-5	8901882014732706705f	2026-04-19	2026-05-19	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901822011954235|60011379|2026-04-14|2026-05-14			2026-04	083901822011954235											60011379	ATT 300GB Plan EC PV (PI)	62.0000000000	62.0000000000	GMT-5	89012804332115881314	2026-04-14	2026-05-14	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901300080580238|60011785|2026-04-05|2026-05-05			2026-04	083901300080580238											60011785	ATT 300GB Plan DC (PI)	62.0000000000	62.0000000000	GMT-5	89010303300088520839	2026-04-05	2026-05-05	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901424017131037|600111094|#|#			2026-04	083901424017131037											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	8901240477113101738f					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901624070711437|60011888|2026-04-01|2026-05-01			2026-04	083901624070711437											60011888	TMO 300GB Plan AT (1) (C) (PI)	62.0000000000	62.0000000000	GMT-5	8901260408771741734f	2026-04-01	2026-05-01	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901622016087266|600111094|#|#			2026-04	083901622016087266											600111094	Unassigned(WA)	43.0000000000	43.0000000000	GMT-5	8901260264718027665f					43.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901300080689883|60011986|2026-04-05|2026-05-05			2026-04	083901300080689883											60011986	ATT 300GB Plan DC (2) (PI)	62.0000000000	62.0000000000	GMT-5	89010303300088689386	2026-04-05	2026-05-05	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
	2026-04|083901144085998241|600111139|2026-04-24|2026-05-24			2026-04	083901144085998241											600111139	AT&T 300GB Plan HX RT (333) (PI)	62.0000000000	62.0000000000	GMT-5	89014104334590019157	2026-04-24	2026-05-24	31.0000000000		62.0000000000															NO_EXCEL_DETAIL_FOR_PLATFORM_FACT	PLATFORM_ONLY	PLATFORM_FACT
