local_path	relative_path	file_name	extension	size_bytes	category
C:\Users\EDY\Desktop\WA账单20260914\2026年1月\WingAlpha-2026年1月付；USD704,839.35\006-SIMO December Data Invoice_8005193.pdf	2026年1月\WingAlpha-2026年1月付；USD704,839.35\006-SIMO December Data Invoice_8005193.pdf	006-SIMO December Data Invoice_8005193.pdf	.pdf	93787	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	.xlsx	940172	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2026年1月\WingAlpha-2026年1月付；USD704,839.35\~$给Wing的付款说明2022-7-9.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\~$给Wing的付款说明2022-7-9.xlsx	~$给Wing的付款说明2022-7-9.xlsx	.xlsx	165	excel_temp_lock_invalid
C:\Users\EDY\Desktop\WA账单20260914\2026年2月\WingAlpha-2026年2月付；USD703,612.29\007-SIMO January Data Invoice_8026992 .pdf	2026年2月\WingAlpha-2026年2月付；USD703,612.29\007-SIMO January Data Invoice_8026992 .pdf	007-SIMO January Data Invoice_8026992 .pdf	.pdf	94170	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	.xlsx	1241145	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2026年2月\WingAlpha-2026年2月付；USD703,612.29\~$给Wing的付款说明2022-7-9.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\~$给Wing的付款说明2022-7-9.xlsx	~$给Wing的付款说明2022-7-9.xlsx	.xlsx	165	excel_temp_lock_invalid
C:\Users\EDY\Desktop\WA账单20260914\2026年3月\WingAlpha-2026年3月付；USD693,915.21\007-SIMO February Data Invoice_ 8148230.pdf	2026年3月\WingAlpha-2026年3月付；USD693,915.21\007-SIMO February Data Invoice_ 8148230.pdf	007-SIMO February Data Invoice_ 8148230.pdf	.pdf	94293	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	.xlsx	1188662	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2026年3月\WingAlpha-2026年3月付；USD693,915.21\~$给Wing的付款说明2022-7-9.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\~$给Wing的付款说明2022-7-9.xlsx	~$给Wing的付款说明2022-7-9.xlsx	.xlsx	165	excel_temp_lock_invalid
C:\Users\EDY\Desktop\WA账单20260914\2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	.xlsx	1064283	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2026年4月\WingAlpha-2026年4月付；USD579,471.47\SIMO March Data_ 8199439.pdf.pdf	2026年4月\WingAlpha-2026年4月付；USD579,471.47\SIMO March Data_ 8199439.pdf.pdf	SIMO March Data_ 8199439.pdf.pdf	.pdf	94668	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\2026年4月\WingAlpha-2026年4月付；USD579,471.47\~$给Wing的付款说明2022-7-9.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\~$给Wing的付款说明2022-7-9.xlsx	~$给Wing的付款说明2022-7-9.xlsx	.xlsx	165	excel_temp_lock_invalid
C:\Users\EDY\Desktop\WA账单20260914\2026年5月\WingAlpha-2026年5月付；USD374,480.38\007-SIMO April Data_8238620.pdf	2026年5月\WingAlpha-2026年5月付；USD374,480.38\007-SIMO April Data_8238620.pdf	007-SIMO April Data_8238620.pdf	.pdf	93258	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	.xlsx	549437	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2026年5月\WingAlpha-2026年5月付；USD374,480.38\~$给Wing的付款说明2022-7-9.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\~$给Wing的付款说明2022-7-9.xlsx	~$给Wing的付款说明2022-7-9.xlsx	.xlsx	165	excel_temp_lock_invalid
C:\Users\EDY\Desktop\WA账单20260914\2026年6月\WingAlpha-2026年6月付；USD389,842.49\007-SIMO May Data_8282790 (1).pdf	2026年6月\WingAlpha-2026年6月付；USD389,842.49\007-SIMO May Data_8282790 (1).pdf	007-SIMO May Data_8282790 (1).pdf	.pdf	94616	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	.xlsx	579502	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2026年6月\WingAlpha-2026年6月付；USD389,842.49\~$给Wing的付款说明2022-7-9.xlsx	2026年6月\WingAlpha-2026年6月付；USD389,842.49\~$给Wing的付款说明2022-7-9.xlsx	~$给Wing的付款说明2022-7-9.xlsx	.xlsx	165	excel_temp_lock_invalid
C:\Users\EDY\Desktop\WA账单20260914\2026年7月\WingAlpha-2026年7月付；USD382,329.72\007-SIMO June Data_ 8319900.pdf	2026年7月\WingAlpha-2026年7月付；USD382,329.72\007-SIMO June Data_ 8319900.pdf	007-SIMO June Data_ 8319900.pdf	.pdf	94088	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\2026年7月\WingAlpha-2026年7月付；USD382,329.72\01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026年7月\WingAlpha-2026年7月付；USD382,329.72\01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	.xlsx	550883	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2026年7月\WingAlpha-2026年7月付；USD382,329.72\~$给Wing的付款说明2022-7-9.xlsx	2026年7月\WingAlpha-2026年7月付；USD382,329.72\~$给Wing的付款说明2022-7-9.xlsx	~$给Wing的付款说明2022-7-9.xlsx	.xlsx	165	excel_temp_lock_invalid
C:\Users\EDY\Desktop\WA账单20260914\2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	.xlsx	552091	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2026年8月\WingAlpha-2026年8月付；USD373,928.34\SIMO July Data_8369698.pdf	2026年8月\WingAlpha-2026年8月付；USD373,928.34\SIMO July Data_8369698.pdf	SIMO July Data_8369698.pdf	.pdf	94180	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\2026年8月\WingAlpha-2026年8月付；USD373,928.34\~$给Wing的付款说明2022-7-9.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\~$给Wing的付款说明2022-7-9.xlsx	~$给Wing的付款说明2022-7-9.xlsx	.xlsx	165	excel_temp_lock_invalid
C:\Users\EDY\Desktop\WA账单20260914\2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	.xlsx	553374	excel_official_candidate
C:\Users\EDY\Desktop\WA账单20260914\2026年9月\WingAlpha-2026年9月付；USD\~$给Wing的付款说明2022-7-9.xlsx	2026年9月\WingAlpha-2026年9月付；USD\~$给Wing的付款说明2022-7-9.xlsx	~$给Wing的付款说明2022-7-9.xlsx	.xlsx	165	excel_temp_lock_invalid
C:\Users\EDY\Desktop\WA账单20260914\aug_diff_analysis.md	aug_diff_analysis.md	aug_diff_analysis.md	.md	3504	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\card_billing_aligned.py	card_billing_aligned.py	card_billing_aligned.py	.py	9770	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\card_billing_exported.py	card_billing_exported.py	card_billing_exported.py	.py	28844	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\card_billing_v2.py	card_billing_v2.py	card_billing_v2.py	.py	24433	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\card_billing_v2_aug.py	card_billing_v2_aug.py	card_billing_v2_aug.py	.py	23399	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\card_billing_v2_jul.py	card_billing_v2_jul.py	card_billing_v2_jul.py	.py	23214	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\check_excel_prices.py	check_excel_prices.py	check_excel_prices.py	.py	1346	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\convert_to_csv.py	convert_to_csv.py	convert_to_csv.py	.py	10218	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\csv_output\wa_invoice_credit.csv	csv_output\wa_invoice_credit.csv	wa_invoice_credit.csv	.csv	128765	csv_export_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\csv_output\wa_invoice_detail.csv	csv_output\wa_invoice_detail.csv	wa_invoice_detail.csv	.csv	41195327	csv_export_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\csv_output\wa_invoice_prorated.csv	csv_output\wa_invoice_prorated.csv	wa_invoice_prorated.csv	.csv	257478	csv_export_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\find_notebook.py	find_notebook.py	find_notebook.py	.py	1594	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\find_notebook2.py	find_notebook2.py	find_notebook2.py	.py	1317	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\jul_step1_query.sql	jul_step1_query.sql	jul_step1_query.sql	.sql	18862	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\jul_summary_query.sql	jul_summary_query.sql	jul_summary_query.sql	.sql	13478	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\new_notebook.md	new_notebook.md	new_notebook.md	.md	9789	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\run_aug_excel_price.py	run_aug_excel_price.py	run_aug_excel_price.py	.py	12917	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\run_step1_test.py	run_step1_test.py	run_step1_test.py	.py	842	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\run_v2_aug.py	run_v2_aug.py	run_v2_aug.py	.py	7641	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\run_v2_steps.py	run_v2_steps.py	run_v2_steps.py	.py	4024	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\v2_aug_dedup.sql	v2_aug_dedup.sql	v2_aug_dedup.sql	.sql	7367	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\v2_step1_clean.sql	v2_step1_clean.sql	v2_step1_clean.sql	.sql	20461	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\v2_step1_original_case_price.sql	v2_step1_original_case_price.sql	v2_step1_original_case_price.sql	.sql	11989	non_excel_auxiliary
C:\Users\EDY\Desktop\WA账单20260914\wa_invoice_reconciliation.py	wa_invoice_reconciliation.py	wa_invoice_reconciliation.py	.py	5701	non_excel_auxiliary
