local_excel_file	platform_source_table	platform_source_file	invoice_batch_label	observed_start_month	filename_amount_token	table_amount_semantics	platform_table_amount	table_amount_minus_filename_amount	comparison_status	comparison_note
C:\Users\EDY\Desktop\WA账单20260914\2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2025-01	2025-12		prorated.final_charge_for_usage_days	34.00000000		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026-07	2026-07		detail.final_charge	373918.31397838		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026-07	2026-06		prorated.final_charge_for_usage_days	141.90000000		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年7月\WingAlpha-2026年7月付；USD382,329.72\01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026-06	2026-06		detail.final_charge	382329.72043015		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	2026-02,2026-03		detail.final_charge	578406.30645160		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	2026-02		prorated.final_charge_for_usage_days	3686.92857134		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-04,2026-05		detail.final_charge	389800.95268807		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年6月\WingAlpha-2026年6月付；USD389,842.49\01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-04		prorated.final_charge_for_usage_days	298.76666665		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026-08	2026-08		detail.final_charge	364846.61290313		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年9月\WingAlpha-2026年9月付；USD\SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026-08	2026-07		prorated.final_charge_for_usage_days	127.61290323		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12		detail.final_charge	704839.35376158		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		585.45	credit.credit_owed	585.45000000	0.0000000000	MATCH_FILENAME_WITHIN_TOLERANCE	invoice total comparison
