source_file	imsi	iccid	product_name	cycle_start	cycle_end	final_start	final_end	final_days	monthly_rate	detail_amount	charge_type	status	new_card_imsi_replacement	old_card_imsi_replaced	rows_on_cycle_key	final_window_variants	row_on_duplicate_key	retention_decision
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060090103		ATT 300GB Plan DF ET (43) (WA)	2026-01-09	2026-02-08	2026-01-09	2026-01-31	23.0000000000	62.0000000000	46.0000000000	Partial Charge - Product Transfer Mid Cycle				2	2	1	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060090103		ATT 125GB Plan DF ET (43) (WA)	2026-01-09	2026-02-08	2026-02-01	2026-02-08	8.0000000000	43.0000000000	11.0967741935	Partial Charge - Product Transfer Mid Cycle				2	2	2	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060090352		ATT 300GB Plan DF ET (43) (WA)	2026-01-19	2026-02-18	2026-01-19	2026-01-31	13.0000000000	62.0000000000	26.0000000000	Partial Charge - Product Transfer Mid Cycle				2	2	1	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060090352		ATT 125GB Plan DF ET (43) (WA)	2026-01-19	2026-02-18	2026-02-01	2026-02-18	18.0000000000	43.0000000000	24.9677419355	Partial Charge - Product Transfer Mid Cycle				2	2	2	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060095584		ATT 300GB Plan DF ET (43) (WA)	2026-01-19	2026-02-18	2026-01-19	2026-01-31	13.0000000000	62.0000000000	26.0000000000	Partial Charge - Product Transfer Mid Cycle				2	2	1	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060095584		ATT 125GB Plan DF ET (43) (WA)	2026-01-19	2026-02-18	2026-02-01	2026-02-18	18.0000000000	43.0000000000	24.9677419355	Partial Charge - Product Transfer Mid Cycle				2	2	2	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060095798		ATT 300GB Plan DF ET (43) (WA)	2026-01-09	2026-02-08	2026-01-09	2026-01-31	23.0000000000	62.0000000000	46.0000000000	Partial Charge - Product Transfer Mid Cycle				2	2	1	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060095798		ATT 125GB Plan DF ET (43) (WA)	2026-01-09	2026-02-08	2026-02-01	2026-02-08	8.0000000000	43.0000000000	11.0967741935	Partial Charge - Product Transfer Mid Cycle				2	2	2	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060095928		ATT 300GB Plan DF ET (43) (WA)	2026-01-04	2026-02-03	2026-01-04	2026-01-31	28.0000000000	62.0000000000	56.0000000000	Partial Charge - Product Transfer Mid Cycle				2	2	1	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	083901516060095928		ATT 125GB Plan DF ET (43) (WA)	2026-01-04	2026-02-03	2026-02-01	2026-02-03	3.0000000000	43.0000000000	4.1612903226	Partial Charge - Product Transfer Mid Cycle				2	2	2	KEEP_BOTH_ROWS_FULL_KEY_DIFFERS
