imsi	source_file	charge_type	excel_new_activation_date	excel_final_start_date	excel_final_end_date	excel_days	excel_price	excel_amount	activation_event_time	pre_status	next_status	desc_log	description	event_to_excel_start_days	rn
083901141064478624	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064478626	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-13	2026-02-13	2026-02-21	12.000000000000	62.000000000000	24.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	16	1
083901141064478635	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064478636	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-13	2026-02-13	2026-02-21	12.000000000000	62.000000000000	24.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	16	1
083901141064478644	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064478645	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064478646	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-13	2026-02-13	2026-02-21	16.000000000000	62.000000000000	32.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	16	1
083901141064478656	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-13	2026-02-13	2026-02-21	12.000000000000	62.000000000000	24.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	16	1
083901141064478664	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064478665	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-13	2026-02-13	2026-02-21	9.000000000000	62.000000000000	18.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	16	1
083901141064478666	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-13	2026-02-13	2026-02-21	19.000000000000	62.000000000000	38.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	16	1
083901141064478673	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-02	2026-02-02	2026-02-21	22.000000000000	62.000000000000	44.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	5	1
083901141064478685	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-13	2026-02-13	2026-02-21	16.000000000000	62.000000000000	32.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	16	1
083901141064478692	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064478694	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064478695	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-13	2026-02-13	2026-02-21	26.000000000000	62.000000000000	52.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	16	1
083901143008430841	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	14.000000000000	43.000000000000	21.500000000000	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008436704	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	4.000000000000	62.000000000000	8.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008436714	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	6.000000000000	62.000000000000	12.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008436724	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	10.000000000000	62.000000000000	20.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008436758	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	7.000000000000	62.000000000000	14.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008436767	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	7.000000000000	62.000000000000	14.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008436768	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	8.000000000000	62.000000000000	16.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008436777	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	7.000000000000	62.000000000000	14.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008436778	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	11.000000000000	62.000000000000	22.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008436787	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	4.000000000000	62.000000000000	8.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008436788	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	15.000000000000	62.000000000000	30.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008436832	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	29.000000000000	43.000000000000	44.535714285714	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008437616	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	8.000000000000	62.000000000000	16.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008437661	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	6.000000000000	62.000000000000	12.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008438649	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	8.000000000000	62.000000000000	16.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008438659	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	6.000000000000	62.000000000000	12.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008438675	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	8.000000000000	62.000000000000	16.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008438757	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	17.000000000000	43.000000000000	26.107142857143	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008438776	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	5.000000000000	62.000000000000	10.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008438777	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	13.000000000000	43.000000000000	19.964285714286	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008438786	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	8.000000000000	62.000000000000	16.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008438796	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	3.000000000000	62.000000000000	6.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008439653	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	5.000000000000	62.000000000000	10.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008439671	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	14.000000000000	62.000000000000	28.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901143008439703	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	19.000000000000	43.000000000000	29.178571428571	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008439712	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	17.000000000000	43.000000000000	26.107142857143	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008439713	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	28.000000000000	43.000000000000	43.000000000000	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008439722	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	19.000000000000	43.000000000000	29.178571428571	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008439731	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	22.000000000000	43.000000000000	33.785714285714	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008439741	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	13.000000000000	43.000000000000	19.964285714286	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008439742	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	29.000000000000	43.000000000000	44.535714285714	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008439773	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	16.000000000000	43.000000000000	24.571428571429	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008439792	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-03-03	13.000000000000	43.000000000000	19.964285714286	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	1	1
083901143008920566	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-02-24	5.000000000000	62.000000000000	10.000000000000	02/18/2026 01:23:26	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901144006050645	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-22	25.000000000000	62.000000000000	55.357142857143	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901144006056894	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-22	25.000000000000	62.000000000000	55.357142857143	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901144006256779	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-22	25.000000000000	62.000000000000	55.357142857143	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901144006257058	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-22	25.000000000000	62.000000000000	55.357142857143	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901144006258518	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-22	25.000000000000	62.000000000000	55.357142857143	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901144006842812	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-22	25.000000000000	62.000000000000	55.357142857143	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901144006847792	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-22	25.000000000000	62.000000000000	55.357142857143	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901144006943798	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-22	25.000000000000	62.000000000000	55.357142857143	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901144006946152	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-22	25.000000000000	62.000000000000	55.357142857143	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901144006949581	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-22	25.000000000000	62.000000000000	55.357142857143	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901144012070479	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-03-03	29.000000000000	43.000000000000	44.535714285714	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901144012073667	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-03-03	17.000000000000	43.000000000000	26.107142857143	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901144012172756	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-03-03	27.000000000000	43.000000000000	41.464285714286	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901144012173131	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-03-03	12.000000000000	43.000000000000	18.428571428571	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901144012174367	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-24	2026-02-24	2026-03-03	8.000000000000	43.000000000000	12.285714285714	02/18/2026 00:43:00	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	6	1
083901144035413649	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-02	2026-02-02	2026-02-21	20.000000000000	62.000000000000	40.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	5	1
083901144035512610	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-04	2026-02-04	2026-02-21	23.000000000000	62.000000000000	46.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	7	1
083901144035513953	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-02	2026-02-02	2026-02-21	23.000000000000	62.000000000000	46.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	5	1
083901144035517123	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-05	2026-02-05	2026-02-21	29.000000000000	62.000000000000	58.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	8	1
083901144035710708	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-04	2026-02-04	2026-02-21	19.000000000000	62.000000000000	38.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	7	1
083901144035713473	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-02	2026-02-02	2026-02-21	20.000000000000	62.000000000000	40.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	5	1
083901144035717609	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-05	2026-02-05	2026-02-21	21.000000000000	62.000000000000	42.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	8	1
