billing_month	imsi	iccid	product_name	cycle_start_date	cycle_end_date	new_activation_date	offstock_date	charge_type	status	new_card_imsi_replacement	old_card_imsi_replaced	final_start_date	final_end_date	active_days	usage_days	usage_days_alt	usage_days_gt_active	final_days	monthly_rate	final_charge	transferred_to_wing_simbank	note	source_file	rn
2025-09	083901144026127112	89014104334622169996	60011437|ATT 300GB Plan VS PP (WA)	2025-08-30 00:00:00	2025-09-29 23:59:59			Prorated-in Charge (Activated SEPT)				2025-09-26 00:00:00	2025-09-29 00:00:00	4	2		False	4	62	8.2666667			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2
2025-09	083901144026129613	89014104334622170028	60011437|ATT 300GB Plan VS PP (WA)	2025-08-30 00:00:00	2025-09-29 23:59:59			Prorated-in Charge (Activated SEPT)				2025-09-26 00:00:00	2025-09-29 00:00:00	4	3		False	4	62	8.2666667			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	3
2025-09	083901144026220896	89014104334622169947	60011437|ATT 300GB Plan VS PP (WA)	2025-08-30 00:00:00	2025-09-29 23:59:59			Prorated-in Charge (Activated SEPT)				2025-09-26 00:00:00	2025-09-29 00:00:00	4	1		False	4	62	8.2666667			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	4
2025-09	083901144026222865	89014104334622170010	60011437|ATT 300GB Plan VS PP (WA)	2025-08-30 00:00:00	2025-09-29 23:59:59			Prorated-in Charge (Activated SEPT)				2025-09-26 00:00:00	2025-09-29 00:00:00	4	1		False	4	62	8.2666667			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	5
2025-09	083901144064213829	89014103334461518072	60011515|ATT 300GB Plan XY PP (WA)	2025-09-26 00:00:00	2025-10-25 23:59:59			Prorated-out Charge (Activated SEPT)				2025-09-26 00:00:00	2025-09-30 00:00:00	5	-		-	5	62	10.3333333			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	1
2025-09	083901144064410432	89014103334461518064	60011515|ATT 300GB Plan XY PP (WA)	2025-09-26 00:00:00	2025-10-25 23:59:59			Prorated-out Charge (Activated SEPT)				2025-09-26 00:00:00	2025-09-30 00:00:00	5	-		-	5	62	10.3333333			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2
2025-09	083901144064413941	89014103334461518056	60011515|ATT 300GB Plan XY PP (WA)	2025-09-26 00:00:00	2025-10-25 23:59:59			Prorated-out Charge (Activated SEPT)				2025-09-26 00:00:00	2025-09-30 00:00:00	5	-		-	5	62	10.3333333			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	3
2025-09	083901144064414816	89014103334461518031	60011515|ATT 300GB Plan XY PP (WA)	2025-09-26 00:00:00	2025-10-25 23:59:59			Prorated-out Charge (Activated SEPT)				2025-09-26 00:00:00	2025-09-30 00:00:00	5	-		-	5	62	10.3333333			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	4
2025-09	083901144064417051	89014103334461518049	60011515|ATT 300GB Plan XY PP (WA)	2025-09-26 00:00:00	2025-10-25 23:59:59			Prorated-out Charge (Activated SEPT)				2025-09-26 00:00:00	2025-09-30 00:00:00	5	-		-	5	62	10.3333333			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	5
2025-10	083901144004491727		ATT 300GB Plan DI 1A (WA)	2025-10-23 00:00:00	2025-11-22 00:00:00	-	-	Full Cycle Charge				2025-10-23 00:00:00	2025-11-22 00:00:00	31.0		-		31.0	62.0	62.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	1
2025-10	083901144004696834		ATT 300GB Plan DI 1A (WA)	2025-10-23 00:00:00	2025-11-22 00:00:00	-	-	Full Cycle Charge				2025-10-23 00:00:00	2025-11-22 00:00:00	31.0		-		31.0	62.0	62.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2
2025-10	083901144004897746		ATT 300GB Plan DI 1A (WA)	2025-10-23 00:00:00	2025-11-22 00:00:00	-	-	Full Cycle Charge				2025-10-23 00:00:00	2025-11-22 00:00:00	31.0		-		31.0	62.0	62.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	3
2025-10	083901144012070041		ATT 300GB Plan AX (WA)	2025-10-22 00:00:00	2025-11-21 00:00:00	-	-	Full Cycle Charge				2025-10-22 00:00:00	2025-11-21 00:00:00	31.0		-		31.0	62.0	62.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	4
2025-10	083901144012070388		ATT 300GB Plan AX (WA)	2025-10-22 00:00:00	2025-11-21 00:00:00	-	-	Full Cycle Charge				2025-10-22 00:00:00	2025-11-21 00:00:00	31.0		-		31.0	62.0	62.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	5
2025-10	083901144055061403		ATT 300GB Plan DI JL (WA)	2025-10-16 00:00:00	2025-11-15 00:00:00	2025-10-24 00:00:00	-	New Activation: Prorated-in Charge				2025-10-24 00:00:00	2025-11-15 00:00:00	23.0		2.0		23.0	62.0	46.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	1
2025-10	083901144055061988		ATT 300GB Plan DI JL (WA)	2025-10-16 00:00:00	2025-11-15 00:00:00	2025-10-24 00:00:00	-	New Activation: Prorated-in Charge				2025-10-24 00:00:00	2025-11-15 00:00:00	23.0		4.0		23.0	62.0	46.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2
2025-10	083901144055062604		ATT 300GB Plan DI JL (WA)	2025-10-16 00:00:00	2025-11-15 00:00:00	2025-10-24 00:00:00	-	New Activation: Prorated-in Charge				2025-10-24 00:00:00	2025-11-15 00:00:00	23.0		3.0		23.0	62.0	46.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	3
2025-10	083901144055065469		ATT 300GB Plan DI JL (WA)	2025-10-16 00:00:00	2025-11-15 00:00:00	2025-10-24 00:00:00	-	New Activation: Prorated-in Charge				2025-10-24 00:00:00	2025-11-15 00:00:00	23.0		7.0		23.0	62.0	46.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	4
2025-10	083901144055065689		ATT 300GB Plan DI JL (WA)	2025-10-16 00:00:00	2025-11-15 00:00:00	2025-10-24 00:00:00	-	New Activation: Prorated-in Charge				2025-10-24 00:00:00	2025-11-15 00:00:00	23.0		2.0		23.0	62.0	46.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	5
2025-10	083901144085663928		ATT 300GB Plan DF (WA)	2025-10-02 00:00:00	2025-11-01 00:00:00	-	2025-10-13 00:00:00	Prorated-out Charge (Activated OCT)				2025-10-02 00:00:00	2025-10-13 00:00:00	12.0		-		12.0	62.0	24.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	1
2025-10	083901516060172637		ATT 300GB Plan DF ET (WA)	2025-10-24 00:00:00	2025-11-23 00:00:00	-	2025-10-30 00:00:00	Prorated-out Charge (Activated OCT)				2025-10-24 00:00:00	2025-10-30 00:00:00	7.0		-		7.0	62.0	14.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2
2025-10	083901516060363798		ATT 300GB Plan PVP 3 (WA)	2025-10-27 00:00:00	2025-11-26 00:00:00	-	2025-10-31 00:00:00	Prorated-out Charge (Activated OCT)				2025-10-27 00:00:00	2025-10-31 00:00:00	5.0		-		5.0	62.0	10.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	3
2025-10	083901516060369388		ATT 300GB Plan PVP 3 (WA)	2025-10-27 00:00:00	2025-11-26 00:00:00	-	2025-10-31 00:00:00	Prorated-out Charge (Activated OCT)				2025-10-27 00:00:00	2025-10-31 00:00:00	5.0		-		5.0	62.0	10.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	4
2025-10	083901516060953219		ATT 300GB Plan PVP 3 (WA)	2025-10-27 00:00:00	2025-11-26 00:00:00	-	2025-10-31 00:00:00	Prorated-out Charge (Activated OCT)				2025-10-27 00:00:00	2025-10-31 00:00:00	5.0		-		5.0	62.0	10.0			01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	5
2025-11	083901144004491727		ATT 300GB Plan DI 1A (WA)	2025-11-23 00:00:00	2025-12-22 00:00:00	-	-	Full Cycle Charge				2025-11-23 00:00:00	2025-12-22 00:00:00	30.0	-			30.0	62.0	62.0			01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	1
2025-11	083901144004696834		ATT 300GB Plan DI 1A (WA)	2025-11-23 00:00:00	2025-12-22 00:00:00	-	-	Full Cycle Charge				2025-11-23 00:00:00	2025-12-22 00:00:00	30.0	-			30.0	62.0	62.0			01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2
2025-11	083901144004897746		ATT 300GB Plan DI 1A (WA)	2025-11-23 00:00:00	2025-12-22 00:00:00	-	-	Full Cycle Charge				2025-11-23 00:00:00	2025-12-22 00:00:00	30.0	-			30.0	62.0	62.0			01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	3
2025-11	083901144012070041		ATT 300GB Plan AX (WA)	2025-11-22 00:00:00	2025-12-21 00:00:00	-	-	Full Cycle Charge				2025-11-22 00:00:00	2025-12-21 00:00:00	30.0	-			30.0	62.0	62.0			01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	4
2025-11	083901144012070388		ATT 300GB Plan AX (WA)	2025-11-22 00:00:00	2025-12-21 00:00:00	-	-	Full Cycle Charge				2025-11-22 00:00:00	2025-12-21 00:00:00	30.0	-			30.0	62.0	62.0			01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	5
2025-11	083901144064706280		ATT 300GB Plan AT TB T（WA）	2025-10-10 00:00:00	2025-11-09 00:00:00	2025-11-05 00:00:00	-	New Activation: Prorated-in Charge				2025-11-05 00:00:00	2025-11-09 00:00:00	5.0	4.0			5.0	62.0	10.0			01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	1
2025-11	083901622016180630		TMO 100GB Plan AT (3) (WA)	2025-10-12 00:00:00	2025-11-11 00:00:00	2025-11-05 00:00:00	-	New Activation: Prorated-in Charge				2025-11-05 00:00:00	2025-11-11 00:00:00	7.0	14.0			14.0	43.0	19.419354838709676			01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2
2025-11	083901622016180640		TMO 100GB Plan AT (3) (WA)	2025-10-12 00:00:00	2025-11-11 00:00:00	2025-11-05 00:00:00	-	New Activation: Prorated-in Charge				2025-11-05 00:00:00	2025-11-11 00:00:00	7.0	16.0			16.0	43.0	22.193548387096772			01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	3
2025-11	083901622016185702		TMO 100GB Plan AT (3) (WA)	2025-10-12 00:00:00	2025-11-11 00:00:00	2025-11-05 00:00:00	-	New Activation: Prorated-in Charge				2025-11-05 00:00:00	2025-11-11 00:00:00	7.0	15.0			15.0	43.0	20.806451612903228			01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	4
2025-11	083901622016185791		TMO 100GB Plan AT (3) (WA)	2025-10-12 00:00:00	2025-11-11 00:00:00	2025-11-05 00:00:00	-	New Activation: Prorated-in Charge				2025-11-05 00:00:00	2025-11-11 00:00:00	7.0	15.0			15.0	43.0	20.806451612903228			01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	5
