result_type	imsi	excel_cycle_start_date	excel_cycle_end_date	excel_final_start_date	excel_final_end_date	product_id	platform_cycle_start_date	platform_cycle_end_date	excel_imsi_count	platform_imsi_count	shared_imsi_count	excel_platform_exact_cycle_pairs	exact_cycle_shared_imsi_count	excel_platform_date_overlap_pairs	date_overlap_shared_imsi_count
SAMPLE	083901143008921520	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921523	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921525	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921526	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921539	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921555	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921556	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921560	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921561	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921567	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921570	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921572	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921574	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921581	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921582	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921590	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921594	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922500	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922505	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922506	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922508	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922510	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922513	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922516	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922518	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922521	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922529	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922534	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922536	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922550	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922559	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922564	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922570	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922574	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922575	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922576	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922577	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922578	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922583	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922585	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922588	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922591	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922593	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008922594	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923526	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923530	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923531	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923532	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923546	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923551	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923553	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923558	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923565	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923568	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923574	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923577	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923581	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008923584	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143044920714	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143044920727	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143044920778	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143044920786	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143044920796	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143044921706	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143044921735	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143044921753	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143044921767	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143044929617	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143044929652	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143044929658	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901144004491727	2025-08-23	2025-09-22	2025-09-01	2025-09-22	60011993	2025-08-23	2025-09-23							
SAMPLE	083901144004491727	2025-09-23	2025-10-22	2025-09-23	2025-10-22	60011993	2025-08-23	2025-09-23							
SAMPLE	083901144004491727	2025-10-23	2025-11-22	2025-10-23	2025-11-22	60011993	2025-08-23	2025-09-23							
SAMPLE	083901144004491727	2025-11-23	2025-12-22	2025-11-23	2025-12-22	60011993	2025-08-23	2025-09-23							
SAMPLE	083901144004491727	2025-08-23	2025-09-22	2025-09-01	2025-09-22	60011993	2025-09-23	2025-10-23							
SAMPLE	083901144004491727	2025-09-23	2025-10-22	2025-09-23	2025-10-22	60011993	2025-09-23	2025-10-23							
SAMPLE	083901144004491727	2025-10-23	2025-11-22	2025-10-23	2025-11-22	60011993	2025-09-23	2025-10-23							
SAMPLE	083901144004491727	2025-11-23	2025-12-22	2025-11-23	2025-12-22	60011993	2025-09-23	2025-10-23							
SAMPLE	083901144004491727	2025-08-23	2025-09-22	2025-09-01	2025-09-22	60011993	2025-10-23	2025-11-23							
SAMPLE	083901144004491727	2025-09-23	2025-10-22	2025-09-23	2025-10-22	60011993	2025-10-23	2025-11-23							
SAMPLE	083901144004491727	2025-10-23	2025-11-22	2025-10-23	2025-11-22	60011993	2025-10-23	2025-11-23							
SAMPLE	083901144004491727	2025-11-23	2025-12-22	2025-11-23	2025-12-22	60011993	2025-10-23	2025-11-23							
SAMPLE	083901144004491727	2025-08-23	2025-09-22	2025-09-01	2025-09-22	60011993	2025-11-23	2025-12-23							
SAMPLE	083901144004491727	2025-09-23	2025-10-22	2025-09-23	2025-10-22	60011993	2025-11-23	2025-12-23							
SAMPLE	083901144004491727	2025-10-23	2025-11-22	2025-10-23	2025-11-22	60011993	2025-11-23	2025-12-23							
SAMPLE	083901144004491727	2025-11-23	2025-12-22	2025-11-23	2025-12-22	60011993	2025-11-23	2025-12-23							
SAMPLE	083901144004491727	2025-08-23	2025-09-22	2025-09-01	2025-09-22	60011993	2025-12-23	2026-01-23							
SAMPLE	083901144004491727	2025-09-23	2025-10-22	2025-09-23	2025-10-22	60011993	2025-12-23	2026-01-23							
SAMPLE	083901144004491727	2025-10-23	2025-11-22	2025-10-23	2025-11-22	60011993	2025-12-23	2026-01-23							
SAMPLE	083901144004491727	2025-11-23	2025-12-22	2025-11-23	2025-12-22	60011993	2025-12-23	2026-01-23							
SAMPLE	083901144004696834	2025-08-23	2025-09-22	2025-09-01	2025-09-22	60011993	2025-12-23	2026-01-23							
SAMPLE	083901144004696834	2025-09-23	2025-10-22	2025-09-23	2025-10-22	60011993	2025-12-23	2026-01-23							
SAMPLE	083901144004696834	2025-08-23	2025-09-22	2025-09-01	2025-09-22	60011993	2025-09-23	2025-10-23							
SAMPLE	083901144004696834	2025-09-23	2025-10-22	2025-09-23	2025-10-22	60011993	2025-09-23	2025-10-23							
SAMPLE	083901144004696834	2025-08-23	2025-09-22	2025-09-01	2025-09-22	60011993	2025-11-23	2025-12-23							
SAMPLE	083901144004696834	2025-09-23	2025-10-22	2025-09-23	2025-10-22	60011993	2025-11-23	2025-12-23							
SAMPLE	083901144004696834	2025-08-23	2025-09-22	2025-09-01	2025-09-22	60011993	2025-08-23	2025-09-23							
SAMPLE	083901144004696834	2025-09-23	2025-10-22	2025-09-23	2025-10-22	60011993	2025-08-23	2025-09-23							
SAMPLE	083901144004696834	2025-08-23	2025-09-22	2025-09-01	2025-09-22	60011993	2025-10-23	2025-11-23							
SAMPLE	083901144004696834	2025-09-23	2025-10-22	2025-09-23	2025-10-22	60011993	2025-10-23	2025-11-23							
SUMMARY_IMSI									15421	15421	15421				
