partition_year	partition_month	product_id	row_count	imsi_count	min_cycle_start_ts	max_cycle_end_ts	sim_status_count	dispatch_status_count
2025	11	60011429	720	1	10/24/2025 05:00:00	12/24/2025 04:59:59	2	3
2025	11	60011436	144000	200	10/10/2025 05:00:00	12/10/2025 04:59:59	4	3
2025	11	60011437	30240	42	10/04/2025 05:00:00	12/30/2025 04:59:59	4	3
2025	11	60011444	42480	59	10/16/2025 05:00:00	12/16/2025 04:59:59	3	3
2025	11	60011449	265423	507	10/02/2025 05:00:00	12/30/2025 04:59:59	4	3
2025	11	60011494	44640	62	10/11/2025 05:00:00	12/11/2025 04:59:59	3	3
2025	11	60011500	40320	56	10/29/2025 05:00:00	12/29/2025 04:59:59	2	3
2025	11	60011515	538560	749	10/01/2025 05:00:00	12/27/2025 04:59:59	4	3
2025	11	60011516	59066	83	10/09/2025 05:00:00	12/09/2025 04:59:59	3	3
2025	11	60011521	72000	100	10/21/2025 05:00:00	12/21/2025 04:59:59	3	3
2025	11	60011612	229680	319	10/25/2025 05:00:00	12/25/2025 04:59:59	4	3
2025	11	60011672	1324220	1916	10/23/2025 05:00:00	12/24/2025 04:59:59	2	4
2025	11	60011687	554	1	10/25/2025 05:00:00	11/25/2025 04:59:59	3	2
2025	11	60011690	35683	51	05/10/2025 05:00:00	12/10/2025 04:59:59	5	3
2025	11	60011777	28800	40	10/14/2025 05:00:00	12/14/2025 04:59:59	3	3
2025	11	60011783	226900	524	10/02/2025 05:00:00	12/28/2025 04:59:59	4	3
2025	11	60011785	272880	379	10/05/2025 05:00:00	12/05/2025 04:59:59	4	3
2025	11	60011815	266259	393	10/19/2025 05:00:00	12/19/2025 04:59:59	3	3
2025	11	60011817	48960	68	10/01/2025 05:00:00	12/01/2025 04:59:59	5	3
2025	11	60011818	389	1	10/30/2025 05:00:00	12/30/2025 04:59:59	3	4
2025	11	60011828	412855	619	10/22/2025 05:00:00	12/22/2025 04:59:59	3	3
2025	11	60011838	162140	250	10/01/2025 05:00:00	12/29/2025 04:59:59	4	4
2025	11	60011839	138265	227	10/01/2025 05:00:00	12/29/2025 04:59:59	5	3
2025	11	60011843	475200	660	10/09/2025 05:00:00	12/09/2025 04:59:59	4	3
2025	11	60011858	197952	478	10/04/2025 05:00:00	12/29/2025 04:59:59	5	3
2025	11	60011859	5145	24	10/05/2025 05:00:00	12/16/2025 04:59:59	4	3
2025	11	60011860	102240	142	10/10/2025 05:00:00	12/10/2025 04:59:59	4	3
2025	11	60011875	72000	100	10/14/2025 05:00:00	12/14/2025 04:59:59	4	3
2025	11	60011878	184940	260	03/12/2025 05:00:00	12/12/2025 04:59:59	4	3
2025	11	60011882	432720	601	10/01/2025 05:00:00	12/01/2025 04:59:59	3	4
2025	11	60011883	166100	330	10/12/2025 05:00:00	12/12/2025 04:59:59	3	4
2025	11	60011884	112330	444	10/06/2025 05:00:00	12/06/2025 04:59:59	4	3
2025	11	60011886	200	40	10/30/2025 05:00:00	11/30/2025 04:59:59	1	2
2025	11	60011887	441938	616	10/01/2025 05:00:00	12/01/2025 04:59:59	4	4
2025	11	60011888	250420	349	10/01/2025 05:00:00	12/01/2025 04:59:59	4	3
2025	11	60011889	386640	537	10/01/2025 05:00:00	12/01/2025 04:59:59	3	3
2025	11	60011890	145348	202	10/16/2025 05:00:00	12/16/2025 04:59:59	5	4
2025	11	60011891	82800	115	10/18/2025 05:00:00	12/18/2025 04:59:59	5	3
2025	11	60011892	580	4	10/11/2025 05:00:00	11/11/2025 04:59:59	5	2
2025	11	60011893	172799	240	10/12/2025 05:00:00	12/12/2025 04:59:59	3	3
2025	11	60011894	46900	67	11/01/2025 05:00:00	12/01/2025 04:59:59	4	3
2025	11	60011921	110880	154	10/18/2025 05:00:00	12/18/2025 04:59:59	3	3
2025	11	60011922	60360	126	10/01/2025 05:00:00	12/01/2025 04:59:59	3	3
2025	11	60011981	206808	288	10/01/2025 05:00:00	12/26/2025 04:59:59	3	3
2025	11	60011986	82080	114	10/05/2025 05:00:00	12/05/2025 04:59:59	3	3
2025	11	60011989	3600	5	10/25/2025 05:00:00	12/25/2025 04:59:59	2	3
2025	11	60011992	98640	137	10/04/2025 05:00:00	12/04/2025 04:59:59	5	3
2025	11	60011993	64080	89	10/23/2025 05:00:00	12/23/2025 04:59:59	3	3
