billing_month	imsi	invoice_rows_per_card_month	charge_type_count	charge_types_observed
2025-09	083901144012076240	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012076257	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012076364	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012076742	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012077150	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012077204	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012077405	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012077409	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012077457	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012077670	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012078350	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012078467	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012078664	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012078751	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012078777	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012078786	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012079003	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012079265	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012079439	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012079452	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012079969	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012170287	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012170392	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012170597	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012170709	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012171381	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012171450	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012171508	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012171940	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012172068	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012172166	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012172213	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012172243	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012172315	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012172668	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012172796	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012173034	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012173207	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012173412	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012173491	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012173602	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012173771	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012173897	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012173971	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012174076	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012174341	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012174778	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012174815	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012174895	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012174918	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012174929	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012175656	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012175661	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012176160	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012176190	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012176756	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012176782	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012176985	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012177288	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012177639	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012178082	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012178249	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012178293	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012178394	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012178408	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012178658	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012178660	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012178833	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012179048	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012179319	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012179499	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012179635	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012179709	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012179821	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012179903	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012179926	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012179990	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012179996	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012271235	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012271289	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012272175	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012272219	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012272274	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012274074	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012275131	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012276044	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012276070	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012276251	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012276282	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012277127	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012277138	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012278040	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012278045	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012278085	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012279239	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012279277	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012460238	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012460605	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012461736	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012461892	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012464889	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012465242	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012465274	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012465854	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012466795	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012466877	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012467867	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012468779	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012469690	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012560763	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012560778	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012561067	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012561070	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012561902	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012561954	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012562038	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012562132	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012562449	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012562750	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012563231	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012563404	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012563423	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012563693	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012563761	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012563901	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012564989	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012565122	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012565243	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012565562	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012565620	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012565645	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012565787	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012566090	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012566095	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012566649	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012566748	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012567186	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012567211	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012567547	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012567848	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012569197	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012660323	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012660443	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012660480	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012661090	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012661409	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012663437	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012664136	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012664239	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012666102	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012666445	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012666832	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012666897	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012667142	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012667625	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012667704	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012668080	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012669363	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012669395	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012669685	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012669738	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012761062	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012761243	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012761304	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012761799	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012761816	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012761885	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012762680	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012762856	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012763003	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012763630	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012763862	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012764124	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012764531	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012764605	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012765581	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012765851	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012766495	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012766784	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012767304	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012767514	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012768838	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012768949	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012769034	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012769275	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012769836	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012860290	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012860968	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012861001	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012861017	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012861029	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012861147	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012861479	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012861550	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012861590	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012862129	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012862322	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012862659	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012863523	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012864020	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012864205	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012864395	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012865311	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012866026	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012866037	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012866143	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012866332	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012866736	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012867022	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012867774	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012868541	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012868865	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012868924	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012869127	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012869270	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012869293	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012960107	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012960406	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012960465	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012960502	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012960552	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012960806	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012960918	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012961733	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012961767	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012961861	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012962360	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012962438	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012962545	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012962629	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012962641	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012962900	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012963310	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012963469	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012963574	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012963592	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012964172	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012964259	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012964583	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012964610	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012964643	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012964663	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012965223	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012965346	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012965357	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012965425	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012965482	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012965663	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012965678	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012965714	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012965791	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012965853	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012965920	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012966430	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012966655	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012967243	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012967278	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012967304	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012967324	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012967445	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012967470	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012967631	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012967995	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012968069	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012968767	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012969255	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012969309	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012969351	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012969507	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012969549	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012969789	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016490737	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016490788	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016490957	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016493855	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016494984	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016495723	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016496653	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016590332	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016590718	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016591133	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016592276	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016592498	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016592688	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016592993	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016593106	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016593236	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016593439	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016593635	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016594978	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016595195	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016595456	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016595931	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016596459	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016596831	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016597283	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016597949	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016597990	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016598308	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016599087	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016599215	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016599725	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016690037	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016690368	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016690747	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016691378	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016691758	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016691789	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144016692028	2	2	["Full Rate","Partial Charge (Activated AUG)"]
